time_iso8601,forks_cumulative
2024-09-02 00:00:00+00:00,40983
2024-09-03 00:00:00+00:00,40997
2024-09-04 00:00:00+00:00,41012
2024-09-05 00:00:00+00:00,41017
2024-09-06 00:00:00+00:00,41030
2024-09-07 00:00:00+00:00,41043
2024-09-08 00:00:00+00:00,41053
2024-09-09 00:00:00+00:00,41064
2024-09-10 00:00:00+00:00,41069
2024-09-11 00:00:00+00:00,41075
2024-09-12 00:00:00+00:00,41091
2024-09-13 00:00:00+00:00,41105
2024-09-14 00:00:00+00:00,41115
2024-09-15 00:00:00+00:00,41137
2024-09-16 00:00:00+00:00,41152
2024-09-17 00:00:00+00:00,41163
2024-09-18 00:00:00+00:00,41185
2024-09-19 00:00:00+00:00,41213
2024-09-20 00:00:00+00:00,41235
2024-09-21 00:00:00+00:00,41246
2024-09-22 00:00:00+00:00,41267
2024-09-23 00:00:00+00:00,41290
2024-09-24 00:00:00+00:00,41306
2024-09-25 00:00:00+00:00,41322
2024-09-26 00:00:00+00:00,41328
2024-09-27 00:00:00+00:00,41337
2024-09-28 00:00:00+00:00,41344
2024-09-29 00:00:00+00:00,41355
2024-09-30 00:00:00+00:00,41366
2024-10-01 00:00:00+00:00,41372
2024-10-02 00:00:00+00:00,41388
2024-10-03 00:00:00+00:00,41409
2024-10-04 00:00:00+00:00,41416
2024-10-05 00:00:00+00:00,41424
2024-10-06 00:00:00+00:00,41437
2024-10-07 00:00:00+00:00,41448
2024-10-08 00:00:00+00:00,41459
2024-10-09 00:00:00+00:00,41468
2024-10-10 00:00:00+00:00,41476
2024-10-11 00:00:00+00:00,41485
2024-10-12 00:00:00+00:00,41501
2024-10-13 00:00:00+00:00,41504
2024-10-14 00:00:00+00:00,41516
2024-10-15 00:00:00+00:00,41529
2024-10-16 00:00:00+00:00,41542
2024-10-17 00:00:00+00:00,41547
2024-10-18 00:00:00+00:00,41557
2024-10-19 00:00:00+00:00,41566
2024-10-20 00:00:00+00:00,41574
2024-10-21 00:00:00+00:00,41583
2024-10-22 00:00:00+00:00,41591
2024-10-23 00:00:00+00:00,41598
2024-10-24 00:00:00+00:00,41616
2024-10-25 00:00:00+00:00,41629
2024-10-26 00:00:00+00:00,41640
2024-10-27 00:00:00+00:00,41653
2024-10-28 00:00:00+00:00,41665
2024-10-29 00:00:00+00:00,41675
2024-10-30 00:00:00+00:00,41686
2024-10-31 00:00:00+00:00,41696
2024-11-01 00:00:00+00:00,41705
2024-11-02 00:00:00+00:00,41716
2024-11-03 00:00:00+00:00,41720
2024-11-04 00:00:00+00:00,41724
2024-11-05 00:00:00+00:00,41734
2024-11-06 00:00:00+00:00,41742
2024-11-07 00:00:00+00:00,41759
2024-11-08 00:00:00+00:00,41764
2024-11-09 00:00:00+00:00,41779
2024-11-10 00:00:00+00:00,41786
2024-11-11 00:00:00+00:00,41799
2024-11-12 00:00:00+00:00,41816
2024-11-13 00:00:00+00:00,41830
2024-11-14 00:00:00+00:00,41840
2024-11-15 00:00:00+00:00,41849
2024-11-16 00:00:00+00:00,41854
2024-11-17 00:00:00+00:00,41865
2024-11-18 00:00:00+00:00,41874
2024-11-19 00:00:00+00:00,41887
2024-11-20 00:00:00+00:00,41905
2024-11-21 00:00:00+00:00,41919
2024-11-22 00:00:00+00:00,41930
